Experiences,Labels
QBE INSURANCE (INTERNATIONAL) LIMITED Singapore,2
"Worked as lead analyst for an IPO of a large contracting and engineering company, which emerged the",1
"London Stock exchange, Director",1
Dec 2014 - present AXA Insurance Pte Ltd Finance Specialist,1
"Kong to Singapore. Updated static data in various platforms, did up multiple spreadsheets which were",3
Page 2 of 4,0
Exchange-Traded Fund Accountant October 2015 June 2016,1
Jul 2012 - Oct 2012,0
Statutory audit.,3
"CITIC Industrial Bank, Beijing Bank, Pufa bank, Shanxia Electrical Power Corporation, Civil",2
"Service, Accounting, FSA Inspection Business Improvement Plan.",3
Fund Accountant October 2007 to September 2011,1
"Marketing, Global Marketing, Accounting, Investments,",3
ACHIEVEMENTS / AWARD,0
Hoo Haut Engineering Pte Ltd,2
Logistics Operations,3
"Monthly Salary SGD 1,000",0
Global Keylink Services in Singapore (Jan 2009 Jul 2010),2
"THE BOSTON CONSULTING GROUP (BCG) London, UK",2
Finance Manager,1
"May 14 July 16 Equity Research, 2014 Graduate Program, Junior analyst in TMT sector Seoul, Korea",3
American International Assurance Company (Bermuda) Limited,2
He is required to offer direct and immediate assistance to our portfolio of global clients (mainly,0
Accounting Clerk (Experienced in both AR and AP sides),1
"July 2001 Ocotber 2003 Skrine, Advocate & Solicitors (Kuala Lumpur)",2
PROFESSIONAL CERTIFICATIONS,0
Regional Development Manager,1
"Equity Trading, Bond Trading and Money Market Trading.",3
Nov 13 - Nov 15 PSA INTERNATIONAL PTE LTD (PSAI),2
Assurance & Advisory Business Service,0
SP 2) Long,0
Responsibilities,0
"Starting with equity execution, re vamped CBA’s distribution of capital market products",0
"J.P. Morgan Chase Boston, MA",2
GCI Investment Management US$500mn Mentored 1 junior employee,0
Roles and responsibilities,0
OCBC Bank Limited |,2
Steel - Al Jazeera Steel Products SAOG (ATMI) Telecom - Oman Telecommunication Co. SAOG (OTEL),2
"Learned the foundational concepts of data science and machine learning including python and statistics,",3
IT Assistant (Full-Time),1
Index dropped by 20.0%;,0
"General Manager, Australia & NZ 1989 - 2000",1
"Associate, Investor Relations and MIS",1
"Creation of Computer Aided Livestock Marketing system, CALM",3
Client Services Accountant (Private Equity) 2016 - To present,1
Eurekahedge Pte. February 2014 to December 2016,2
Dubai real estate developer and Singapore shipping firm).,1
Jun - Aug 08 ROBERT YAM & CO,2
"Al Mal Capital | Dubai, UAE Sep 2014 Current",2
August 2015- September 2017,0
Bank and Reserve Bank of the Philippines.,2
Malaysia.,0
Bachelor of Arts in Economics Class of 2009,0
Responsible for initial client locations and training including in Philippines the Asia Development,0
Jul-06 - Aug-06 ING Temp Admin Executive,1
MK.,0
Partner,0
Period Name of Employer Job Title and Description,0
Data Entry Officer (Part-Time during School Holida,1
Singapore Armed Forces Singapore,2
Intern Finance Department June 2015 Aug 2015,1
Cargo Handling Services,3
Aug 2016 - Current,0
Climbing Clubs South Australia,0
ADDITIONAL INFORMATION,0
May 16 - Present ARA ASSET MANAGEMENT LIMITED,2
Audit Assistant (Intern),1
November 2010; and,0
Design and Communication 'B' English Literature 'C',3
Job Duties,0
"Educomp, Everonn amongst others",2
"KPMG, Kuala Lumpur Malaysia Senior Associate",1
"Principal Business Development Manager, Electronic Execution, Global Markets",1
Male,0
Administrative Assistant 1/2013 to 12/2013,1
"The course contains 15+ modules including Android Basics, fragments, screen designing, intents, various",3
Client Services Officer - Japan coverage 2016/5-Present,1
COO / Head of Trading (Investments) 04.2012 - 04.2015,1
Trading & Strategy,3
Performing Loan cases,3
"Apex Fund Services (Singapore) Pte. Ltd., Fund Accountant, Singapore Jan 2014 - Dec 2014",1
Needing to maintain relationships with clients and working closely with key stakeholders. Developing,3
Senior Manager 06.2016 - Present,1
Financial Reporting,3
ATR Manufacturing Ltd. Directors,2
"Supplying integrated solutions for hosting, high speed trading and market data analysis",3
"FX Spot/Forward, CDS/CDX, ETF and OTC products",3
"He takes responsibility for a number of clients, acting as an operational contact for a variety of queries",0
"ABACUS INTERNATIONAL PTE LTD, (Singapore)",2
Oversees and manages the Finance and Operations function for the fund and the management company.,3
May 2017- Present,0
Fund Administration,2
"Kong, and responsible for promoting awareness of competition law amongst personnel of Accor’s Singapore",3
"Assistant Legal Counsel, April 2006 May 2007",1
Type,0
July 2012 - December 2014 (2 years 6 months),0
Liaise with auditors in the yearly audit.,3
Oman National Investment Corporation (ONIC) Holding SAOG (4¼ Yrs. / Jun.’08 Sep.’12),0
"Directly involved in HK IPO engagement i.e. Regent Manner International Holdings, China",3
Page 2 of 2,0
Achievements,0
"Money and Markets, Corporate Financial Management",3
Entities in charge of the quality control of South Asia Platform. Extended knowledge in financial service including fixed,3
Senior Client Services Accountant October 2016 to Present,1
Business,3
"Asia Agri is a leader in navel orange production in China, with all of its plantations located in",2
"Corporate Access, Intern",1
"London Stock Exchange , overseas distribution of the electronic TOPIC system",2
State Street Bank,2
Centillion Environment & Recycling Limited,2
In terms of achievement the project took turnover from zero to 1 billion month by adding 51 new,0
Secretary and address of Registered Office,1
"Jan 2011 Oct 2014 Phillip Securities Pte Ltd, Senior Dealer",2
General Manager Hong Kong and China 2002 2004,1
Senior officer (Private Equity) 2014 - 2016,1
Associate - Client Service,1
"Companies, Takaful operators, Large Corporates, Family offices and HNI/Individual investors.",0
Data entry /Clerk,1
Aug 2010 Jan 2013,0
Hedge fund,3
Finance Executive September 2004 to September 2005,1
Jul 2013 - Jul 2014,0
Market Data Specialist Nov 2013 Jan 2014,1
"Aug 16 Present BNP Paribas Securities Co., Ltd. Hong Kong",2
Electricity Generation -Hydro power,0
Took up the role as China Coordinator Senior Manager for a multi-national audit client.,1
"Science, Dual Award, 'B/B' Design and Communication 'C'",3
"Director of Finance, Acion Partners Limited, Hong Kong Jun 16 Present",1
"AAnalyze nancial data by collecting, monitoring and creating nancial models for",3
"States, Hong Kong, India, United Kingdom and Japan for interoffice reporting of audit.",0
Internship at Investment Trust Sales Planning & Management Dept. 2014/2-2014/7,1
NUS Sheares Hall,2
Singapore,0
Fund Accountant,1
"Learned the foundational concepts of data science and machine learning including python and statistics,",3
"HKMex , SCH and CEFEX China mainland proposals",3
Duties,0
Credit Approval,0
"Regional Executive, Asia and Pacific Rim",1
Owner,1
The Bank of New York Mellon Corporation Singapore,2
Business Development Associate | Aviva Investors | Singapore,1
Competition Law manual in SATS and conduct IP seminars in SATS.,0
"Client Service Associate (Institutional Marketing/Client Servicing), Invesco Asset Management",1
"Hyflux Limited (Shanghai, China group) Financial Controller",2
Memberships,0
Senior Fundamental Analyst,1
State Street Bank and Trust (Singapore) AUG 2014 TO AUG 2015,2
Securities Services Client Service Manager (AVP),1
"Due to internal restructuring, my position was made redundant.",0
"Equities Sales Support Analyst, GOLDMAN SACHS SINGAPORE June 2010-Sept 2011",1
"MAGNETAR CAPITAL Chicago, IL",2
Built in depth work-plan for digital transformation proposal,3
June 2013 to April 2016,0
Amundi Asset Management Singapore/NUS Business School,2
"Malaysia, Indonesia and Japan.",0
Nanyang Polytechnic 2004 to 2007,2
FATCA and CRS,0
Sales & Billing Coordinator (Full-time) May 2014 May 2016,1
April 2006 October 2015 Alliance Bank Malaysia Berhad (Kuala Lumpur),2
Accounts Assistant,1
"Foodstuffs Corporation (“COFCO”, a Fortune Global 500 company) public offering project",2
CHEW SHEK LEONG (DEREK),0
"All View Management., Ltd Hong Kong",2
AWARDS & CERTIFICATES,0
Air India Sats Airport Services Private Limited,2
Alpha Investment Partners Limited Apr 15 Present,2
Card Processing Officer,1
"Analyst, Wealth Management Compliance",1
Investment Research Analyst,1
Senior Officer (Cash team),1
Private Limited.,0
FINCORP,2
"World Sport Nimbus Pte Ltd (“WSN”), a joint venture company between WSG and Nimbus Communications",2
Compliance Officer at Aberdeen Asset Management,1
"Sydney Futures Exchange , creation of the e trading system, SYCOM ( now part of ASE)",2
"Associate, Research",1
"Societe Generale Securities, Tokyo Branch. Tokyo, Japan, 2014/9-2015/4",2
Remittances; Corporate Trade; Corporate Loans and Corporate Internet Banking,0
"Oversight over a portfolio of USD 250Mn, which consisted of market coverage spanning the GCC region",0
Charles & Keith International Singapore,2
HNB Securities Ltd.,2
"Student Helper, Admissions, Registration and Records Office of HKUST",1
Inland Revenue Board etc.,2
Auditor,1
Assisted the manager to prepare presentation slides; prepared meeting minutes; Used dictation software to,3
AXA Life Insurance Singapore Pte Ltd |,2
EXECUTIVE ASSISTANT TO MANAGING DIRECTOR (AMERCIAN),1
Group and continually reviewing developments in corporate governance. Alliance Bank’s substantial,0
BNP Paribas Singapore,2
Shun Lee Catholic Secondary School (F.1 F.5) (1999 2004),0
District Director,1
Electricity Generation- Coal based power plant.,0
DELOITTE SINGAPORE (FINANCIAL SERVICES INDUSTRY) SINGAPORE,2
Project lead and responsible to execute the,1
Operations Executive Mar 2002 to Sept 2002,1
ERNST AND YOUNG Singapore,2
17-Jun,0
Consistent Outstanding Academic Achievement - Dean’s Lister,0
China Water Property Group,2
Asset Management Company US$30bn,2
Sep 2009 Mar 2010 Vishay Intertechnology Asia Pte Ltd (IT support - 6 months internship,1
"LEHMAN BROTHERS, Tokyo 2008",2
"Mediation Bureau, Rating Agency Malaysia etc.",2
ASX company real time announcements direct desktop supply to US fund managers lead to a,0
Mar-10 - Nov-14 Credit Suisse Prime Services Middle Office,2
Jun 2011- Present,0
Private Part-time Tutor Sep 13 to Nov 14,1
Fund Accountant,1
"HTML, CSS, PHP, JavaScript, MySQL etc.",3
Blk 18 Bedok South,0
"Zawya - Thomson Reuters | Beirut, Lebanon Jan 2012 - Nov 2012",2
"Developed and optimized various projects including ecommerce, booking & reservation, non-profit",3
Junyuan Secondary School 2000 to 2003,0
"Accounting Clerk, Finance Department, Bayin Resources Company Ltd. 07/2013-present",1
Satisfaction by 35%,0
Citibank Inc. (Capital Markets Operations),2
Aug 2014 Aug 2016,0
Operational Risk and Business Continuity Plan.,3
MK.,0
Page 1 of 4,0
An Asset Management Company （100-150 employees） Hong Kong,0
Citrix Systems Pvt Ltd,2
AWARDS,0
Chief Trader MGH Associates Ltd.,1
Senior Fund Accountant,1
Smiles Telecommunications,2
"Legal Executive, September 2002 August 2003",1
Dealing Operations Officer (Dealing Assistant),1
Aug 2016-Present,0
BBACC - Bachelor of Business (Accountancy),0
"HTML, CSS, PHP, JavaScript, MySQL etc.",3
"Teacher, temples, schools in Bangkok and in the remote areas of Thailand Spring 2004-Present",1
Key Responsibilities,0
"Bernhard Schulte Hong Kong Limited, Hong Kong",2
Capital Market Analyst 2013-2014,1
Regional founding Director of the E broking service Bloomberg Tradebook.,1
"Member, Bizad Abroad 2009 - Hong Kong",1
ALT Retail - E-commerce Aug 14 - Present,0
Road #03-85 S(460018),0
Investment Bank Client Service,2
Overall Director Carnival,1
Fundación Recover (Volunteer) NGO focused on improving the health system in Africa Cameroon / Spain,1
C) Group reporting and Treasury (Jul 2003 Mar 2006) Snr Accountant,1
Data Management (Temp),3
"Morgan Stanley MUFG Securities Co., Ltd. January 2010 to January 2014",2
JUL 2010 - MAR 2013 Tricor Services Limited - Officer,1
"Systems and Technology Infrastructure, Industry Business Applications and IT services. It is a",3
PROFESSIONAL EXPERIENCE (Cont’d),0
Senior Associate Accounting and Finance,1
RMB transactions,3
Singapore PR,0
