Education,Labels
 Preparation and documentation of corporate agreements,2
Bachelor of Economics and Finance,1
"markets such as China, India, Hong Kong and European countries.",0
"Hong Kong, Thailand, India, Philippines, UAE)",0
LEADERSHIP Elected as Prefect of my School in Class X and Active participation in,2
Shen Zhen University Shen Zhen,3
"- CFA Level 3 candidate, passed CFA Level 1 & 2 Exams",1
from 10 years of correspondence,0
2006 - 2010 Singapore Management University (SMU),3
Major in Accounting and Minor in Business Law,1
" Diploma in Business Information Technology (E-Business Management), 2005",1
" Develop and maintain relationships with investment advisors/managers, banks,",2
ICAEW - Institute of Chartered Accountants England and Wales UK,3
Major in Finance,1
1. Financial Control,2
"1998 - 1995 The Towers Convent School, UK 11 GCSES (2A*s, 3As, 2Bs & 4Cs)",3
"3.43 De Anza College, California, United States",3
BACHELOR OF COMMERCE,1
"Kathmandu, Nepal",0
One month’s notice required.,0
"2013 Part-time Bank Assistant at United Overseas Bank (Singapore), Group",0
Present  Responsible for the management and development of the Singapore Trust,0
 Level 1 Passed (September 2014),0
"Fluent in English and conversational proficiency in Malay, Hindi and Gujarati.",2
"Institute of Administrative Management, United Kingdom February 1999",3
Principles of Banking and Finance,2
particularly in greater China. I’m hardworking and perseverance as I obtained my Bachelor of,0
CPA Australia,3
"Macroeconomics, Healthcare Economics, Advanced Calculus, Social Psychology, Human Memory, Advanced Mandarin",2
Senior Secondary (XII) Education Rajasthan (2012),1
"Major in Statistics, minor in Financial Mathematics",1
Bank of China,0
2013 Citibank N.A. RSC RFAU Outperformance Team ARC Award for Q3 2013,0
 Review of quarterly portfolio valuations and asset allocation,0
"Block 980A, Buangkok Crescent, #08-95, S531980",0
" Line Management of PCS & Trust Sales staff in Asia, India, Middle East and",0
"financial issues. My overseas experiences have not only equipped me with an analytical mindset,",0
"HOLLY Dec 2016 to Present Senior Fund Accountant at Citco Fund Services (Singapore), Shared",0
" Reconciliation of trades, portfolio positions and cash flows (capital calls, distributions etc)",0
1983 1987 Pei Dao Secondary School G.C.E. “O” Level,3
"MSC FINANCE ONGOING INSTITUTE OF CHARTERED ACCOUNTANTS OF INDIA,Bangalore",1
Diploma in Management Studies Apr 2011- Jun 2012,1
Fundamentals of Corporate Finance,2
" Client billing, invoicing and table of fees",0
user/account.,0
 Co-Chair of 2016 LBS Asset Management Conference and active member of PE/VC Club,0
Barclays Wealth Trustees (Singapore) Limited / Zedra Trust Company (Singapore),0
 G.C.E. “A” Level,1
 Preparation and documentation of corporate agreements,2
2003 08 Universidad de Oviedo/Helsinki University Bachelor of Laws - top 5% Spain / Finland,3
 Fluent in English and Hindi.,2
" Marketing, Billing, Investment, Internal Financial Control, Group Financial",2
"2009 2011 MSc. Applied Economics, Singapore Management University",1
EXPERIENCE Senior Fund Accountant Sept 2015 to Present,0
client’s personal details.,0
 Preparation of financial statements and other required reports on a weekly/monthly,2
Secondary (X) Education Rajasthan (2010),3
3.94/4.00  Awarded Allard Partners Scholarship (sole winner) and Fudan MBA Scholarship (2,1
Information Technology,2
" Correspondence and dealing with clients, their advisors and third parties",0
Have been rated “Exceeded Expectation” in annual appraisal for 2014,0
(Corporate Governance completed in May 2012),0
Banking & Finance (IBF) Module 1b Rules & Regulations for Dealing in Securities,2
Chung Cheng High School (Main),3
Hong Kong Exchanges and Clearing Limited (0388),0
" Marketing, Program Management and Development for Amicorp PCS, Trust",2
The Hong Kong Polytechnic University,3
2016 At-Sunrise Global Certificate in Culinary Arts / Hygiene Officer,1
Bachelor in Business Administration,1
 Institute of Chartered Secretaries,3
 Achieved Edusave Scholarship for outstanding academic performance,1
"mathematics (A), business studies (A), further mathematics (A), economics (B)",2
 Obtained a Merit Pass (A) from the inod Kothari School of Securitisation,2
 Processed supplier invoices.,0
Promote and continually support customer service excellence,0
 Certified in Capital Markets and Financial Advisory Services (CMFAs) Institute of,1
 Bachelor Degree in Computer Science & Technology - Zhengzhou University of China,1
LotusNotes and Outlook Express email applications,2
Boon Lay Secondary School Jan 2003-Nov 2006,3
Strategies in changing China; Corporate turnaround; Entrepreneurial finance,2
Graduated with passes in Hong Kong Advance Level Examination,1
(BA (Hons) in Business part time degree),1
2016 Present Chinese University of Hong Kong Part Time MBA (Saturdays only),3
"Waseda University Tokyo, Japan",3
 Increased investor confidence and assets under management (AUM) through exceptional,0
//app.box.com/s/gyx9cynkdnx6fsmv78trciml4jhrn6is,0
Preparation and execution of supporting corporate and trust minutes and resolutions,0
DOB 04/08/83 • Singaporean • Chinese,0
"NAPIER UNIVERSITY (Edinburgh, United Kingdom) December 2002",3
investments Nerine Trust Company Limited,0
"Beirut, Lebanon",0
 Dec 2010 - Standard Chartered 42.195 km Marathon,0
PowerPoint  has a sense of leadership,2
 Assist in business planning and mapping tasks,2
"Queen Mary & Westfield College, University of London (UK)",3
"The organisation offers a complete range of accounting, middle office administration, shareholder and corporate",0
"administrators & signatories, product package (Basic/Professional) and bank",0
 Operational Risk (CISI),2
"The Investment Challenge Participant, Merrill Lynch Jan 2009",0
"investment operations, regulatory compliance, to fund raising/investor relations for talented",0
ARC Professional Year Program,1
"firms, and independent financial advisors.",0
"2003 - 2005 S.K.H. Li Ping Secondary School, Secondary 6-7",3
 Set up internal procedure/template,0
transactions accurately and punctually on a daily basis and to manage complex securities,2
 Strategic Recruitment and Resourcing for PCS and Trust Sales Divisions in Asia,0
Professional Memberships and Affiliations,0
Fluent in English and Mandarin (Verbal and Written),2
2017 Value Investing College Certificate in Value Investing Option Strategy (VIOS),0
"International Pre-Master's Programme, Business Management and Marketing 2010/9-2011/6",1
"Senior Consultant (Fiduciary Analysis and Risk, FATCA Advisory), February 2015",0
Jul-97 - Jun-00 Temasek Polytechnic Singapore Diploma in Product,3
Secondary (X) Education Rajasthan (2010),3
"2010-2013 The University of Manchester, United Kingdom",3
 Work & Health Life-Style Workshop,0
"Skill Advanced AS400, Excel, Microsoft Office, Outlook, PowerPoint",2
"Faculty of Architecture, The University of Hong Kong Hong Kong",3
Singapore Polytechnic,3
"Nanyang Technological University, Singapore Jul 2004 Jun 2007",3
National University of Singapore (NUS) Business School,3
National University of Singapore Aug 07 Dec 10,3
 Resourceful finance professional with over 7 years of experience in the financial services industry,2
"structures), to the leasing and purchase of VVLC's & ULCC's (very large crude",0
Evidence from Hong Kong (Distinction),0
 Preparation of client reviews and annual reports.,2
funds assigned to them and reviewing of their work.,0
Open University Malaysia 2009,3
 Implement methods to improve financial performance while cutting losses,2
"May 2017 Richard Ivey School of Business, University of Western Ontario, Canada",3
"Trust Officer (June - September 2002, December 2003)",0
 CPAA Qualified (Oct 2011),1
" Ensuring that all departmental and regulatory procedures are up to date,",0
Bachelor in Accounting (ACCA) Sep 2010 Jun 2014,1
Bachelor of Education in Media Culture & Society 2006/4-2010/3,1
"International, HSBC, Deutsche Bank, Barclays, ICBC, Pictet, BOAML.",0
"BBA in Professional Accountancy, Second Honor",1
ACHIEVEMENTS,0
SIM University,3
2005 - 2015 Admin Officer,0
 Financial Analysis,2
Augentius Fund Administration (Hong Kong) Limited,0
"1998 - 1995 The Towers Convent School, UK 11 GCSES (2A*s, 3As, 2Bs & 4Cs)",3
 Assist investment team to liaise with bank for bank proofing documents and Law firm for,0
CFA Institute 2016 2016,3
GCE A’ Levels,1
" Prepare quarterly report and annual account in U.S. GAAP and ""letter to the investor""",2
2012 Summer Exchange,0
" Microsoft Office (Word, Powerpoint, Excel)",2
"studied HOLT data of 1,100+ A-share stocks and",2
"Management Universiti Teknologi MARA (UiTM) Seri Iskandar, Perak",3
 FCMA / Fellow of the Chartered Institute of Management Accountants U.K. (Registration No. 1-HNSP),1
"Apex advises managers to consider the overall implication of fund strategies, asset classes, portfolio turnover,",0
"families, family offices, and other financial intermediaries to internal parties and",0
"Secure Communications Officer and Cryptographic Custodian, H.M. Diplomatic",0
"3.75 Deans List (2008 Fall, 2009 Winter, Summer, Fall, 2010 Winter)",0
"Chemistry B, Chinese A",2
CCH  Understanding the Business Risk of the New Race Discrimination Ordinance in HK - Nov 2008,0
"Service Chief Cadet Captain, Hesperus Division, PNC",0
//www.int-comp.org) June 2015 - March 2016 (anticipated,0
"2009 2013 School of Continuing and Professional Studies,",3
Bachelor in Accounting & Finance (Second Class Honours Upper Division),1
GCE O’ Levels,1
Finance Executive (FT Feb to Aug 2014; PT- while in University),0
Jan 2008 Dec 2009,0
- LCCI Level 2 Certificate in Business Administration (Pass with Distinction),1
 Received the Impetus Award (3rd Highest Award) for displaying successful Servent,0
"University of California, Berkeley",3
 Development of strategic partnerships and liaison with bank owned trust,2
The Hong Kong Polytechnic University Hong Kong Community College,3
 Maintenance of company records,2
"Perform daily and month end reconciliation of cash, trade and positions",2
Other Certificates and Courses Attended,0
University of Hong Kong,3
"2003 2006 BSc. Computer Science, National University of Singapore",1
 Summer Exchange Program,0
 Database integrity and testing (4Series),2
deadlines are met.,0
Finance Intern,0
 April 2013 NTUC Income Run350 21km Half Marathon,0
Hong Kong Oct 2013-Jul 2015,0
Information Technology for Managers,2
Information Technology and Multimedia Communication,2
" Strategy, organisation and direct marketing to prospective clients (personal and",2
High School Studies,0
"English, Chinese, Cantonese",2
National Service 2007 to 2009,0
"MBA from Alliance Business Academy, Bangalore University (1st Division) 2001 2003, India",1
Singapore Polytechnic Apr 2006 Apr 2009,3
"Line Management, development and training of three members of staff",0
"3.4/4.0 Shanghai University of International Business and Economics, China 09/2007-07/2011",3
to deal successfully with cross cultural and regional issues.,0
"Bachelor of Accountancy (Honours), Nanyang Technological University, Aug 2010 - Jun 2013",1
"London, UK ABE Business Studies Certificate ( Diploma )",1
"Bachelor of Commerce, major in Accounting and Finance",1
Successfully completed 10+2 course ( Equivalent to A Level) and was placed in First Divison.,1
"Queen Mary & Westfield College, University of London (UK)",3
 Occupational Health for Office Workers including Display Screen Equipment (DSE) assessment,0
2017 Chartered Accountant (Singapore) - ISCA,0
1989 1990 Damansara Utama College,3
"2014 Present Alumni Mentor, Singapore Management University",3
 Certified Public Accountant since June 2017.,0
3.0/4.0 Extra-curricular Activity,0
" Internal knowledge management, advisory services (specialist knowledge of",2
Personal Skill Set,0
EDUCATION & PROFESSIONAL QUALIFICATION,0
brokers and investor relation group.,0
"Hobby Golf, skiing, snowboarding, scuba diving and running",0
"prospectus Dec 2015 - Present - Benchmark Group / Benchmark Advantage Fund, Singapore",0
"Queen Ethelburga’s College York, UK",3
" Consultation with 3rd parties on trust establishments issues, tax returns,",0
"3.58/4 Financial statement analysis, Equity analysis, Financial modeling, Fixed income analysis,",2
FRM Charter holder since June 2010,1
basic understanding on VBA macro.,2
 Toastmasters International Jan 2013 to present,0
" Units include accounting, economics, financial reporting, auditing, financial management, etc.",2
Bachelor of Science (Banking & Finance),1
"completed)  Newcastle University, UK; October 2012- July 2015",3
NANYANG TECHNOLOGICAL UNIVERSITY Singapore,3
PROFESSIONAL QUALIFICATIONS,0
"(Penang, Malaysia, Chinese Medium)",2
 G.C.E. “A” Level,1
3H Health Investment Management (HK) Ltd. Finance manager Jul 2016 Present,0
"Royal Marines Pringle Trophy Team 2i/c 1996, 1997",0
 Awarded Masters in Finance Merit Scholarship (awarded to top 5% of total intakes),1
IE Business School,3
Entrepreneurship,0
Senior Administrator (September 2003 November 2006),0
"Equities investment and research, financial books and press, golf, tennis, coffee and soccer.",0
International accounting program. The program is an intensive 3-year program and it,1
Bachelor of Science Finance and Accounting May 2015,1
"Bachelor of Science in Commerce, Accounting",1
"2009-2010 Bellerbys College (Cambridge), United Kingdom",3
majors in Finance and Public Administration,1
delayed.  Troubleshooting with with technical support team to resolve financial reporting,0
PTPL College 1998,3
High Diploma in Business and Human Resource Management,1
Secondary School,3
expense through in-house system and booking of fund income/fee,0
London Aug 2015-Dec 2016,0
2018 Level III Candidate in the CFA Program,1
3.2/4.0 References References will be provided when requested.,0
2003-2006 GCE 'O' Levels,1
Diploma in Business Information Technology (E-Business Management),1
CURRENT & EXPECTED SALARY,0
 Financial Risk Management Credit,2
" Successful and rapid career progression due to outstanding performance, taken half the time to promote to Director level",0
"July 1999 June 2002 Wage Rudolf Supratman, Medan, Indonesia",0
Business Foundation (In association with Liverpool John Moores Univeristy),1
6347497 Temasek Polytechnic,3
"British Embassy, Zagreb, Croatia. (July - September 2000)",0
 Due diligence on clients,0
 Bachelor of Business Administration (Accountancy),1
(Kuala Lumpur),0
"Imperial College Business School London, UK",3
"Others English, Mandarin",2
"Client billing, invoicing and fee scales",2
loans  Preparation and execution of supporting corporate and trust minutes and,0
 Gained direct experience about European Politics and happenings in the European Union,0
15-Jan,0
St. James Settlement Continued Education Centre,3
Jul 2002 May 2005,0
" ISCA PE candidate, previously known as CPA SG (completed in June 2015)",1
"corporate service providers, family offices and IAM's.",0
UNIVERSITY OF ST GALLEN Switzerland,3
M e m b e r s h i p & A f f i l i a t i o n s,0
 Received commendation for saving an Officer Cadet during Taiwan exercise,0
Chartered Financial Analyst (CFA) Passed all 3 levels JUN 2016,1
Accountant (Singapore) Professional Examinations,1
 Managed and monitored the organisation’s student management system aXcelerate.,2
 Incorporated the following using the accounting software;,0
" Capital Market Development SEC/Securities and Exchange Commission, Sri Lanka",0
2010/9-2012/8 Tsung Tsin Middle School,3
B.B.A Bachelor of Business Administration,1
CFA Charter holder since January 2016,1
Generating associated daily reports for major hedge funds while meeting,0
BSc (Hons) Accounting and Finance Sep 2012 May 2015,1
eight new credit proposals in a year with average size of $100M with 100% approval rate,0
"Sacred Heart Canossian College of Commerce, Hong Kong",3
senior management team across different domiciled funds and trading strategies.,0
Asc Degree Major Accounting & Finance,1
"(Benchmark Group consists of various funds and companies with investments in public equities, private",0
"3.74/4.0 Money, Banking and Financial Markets, Macroeconomic and Microeconomic Analysis, Open Economy",0
 Coordinate / Instruct external administrator of the funds on fund operation issues,0
"repository of 160,000+ items for improved extraction, tagging and presentation of",0
Apex has established itself in Asia as an expert fund administrator with a highly responsive service levels to their,0
National University of Singapore Jul 13 to Dec 16,3
 CFA Institute Investment Foundations,3
Nerine Family Office (Singapore) Limited,0
INTELLISOFT SYSTEMS Mar 2016,0
"Diplomatic Courier, H.M. Diplomatic Service",0
 Assist in new fund launches and review fund documentations including term sheet and,2
 Diploma in Accountancy from Ngee Ann Polytechnic,1
and Europe.  Group and Division Reporting for sales and account revenues.,0
X (CBSE) 9.8(CGPA) PAGE 4 PROFESSIONAL,1
DBS Bank (Hong Kong) Limited (“Macau Branch”),0
"Platform whilst contributing to the broader Wealth Advisory business across Asia,",0
Business in Accountancy in Year 1998 during my course of work and continue improving myself,2
 Prepare MAS regulatory reports on a quarterly basis,2
"LLM (Computer & Communications Law), September 2002",1
 Process various customer requests [Maintenance Section] such as linking company,2
Banking & Finance (IBF) Module 5 Regulations for Financial Advisory Services,2
Hong Kong Jun-Aug 2016,0
"Tax.  Budget and forecast preparation, monitoring of actual financial performance",0
"and valuation metrics such as P/E, PEG, FCF, Debt/Equity, ERP, ROIC, ROE, EV/EBITDA, WACC, etc.",2
responsibility by handling funds with bigger AUM.,2
"University of Melbourne, Australia",3
ACHIEVEMENTS,0
Bachelor’s Degree in Banking and Finance,1
1994 - 2001 Kantipur English High School,3
 Golden Key Award - Member of Golden Key International Honor Society,0
(Ranked No.2 business school in China by Chinese Universities ranking website [Netbig.com]),0
"management systems from scratch, estimated to be US$50K in cost savings per year.",0
"TSINGHUA UNIVERSITY Beijing, China",3
clients. We also provide Administration services to Singapore domiciled Funds under the Enhanced Tier,0
2013 Present Chartered Alternative Investment Analyst (CAIA),1
 Co-founder of IE Fin-Tech Club,0
notarization,0
Bachelor of Commerce (International Business & Management),1
outsourced fund administrators to adhere to the firm’s agreed service standard,0
 Handle Month end for the private equity fund and management company,0
ACCA 2015 2017,1
 LCCI Higher,1
" Chew Soo Ee, FVP, UOB Asset Management",0
Bachelor's Major Banking & Finance,1
9 weeks course (09/2015 11/2015);,0
"Peking University Beijing, China",3
"UCL (the 7th Top University in the world, according to QS Ratings 2017) London, UK",3
1988 1988 First Toa Payoh Secondary School Pre-University,3
 MCSI / Member of the Chartered Institute of Securities and Investment (Membership No. 134821),0
Institution Year of Completion Qualification Attained,0
Ngee Ann Polytechnic Apr 2007-Apr 2010,3
Student Exchange Program,0
2012/9-2016/8 Hong Kong Design Institute,3
IT  Language Proficiencies,2
"University of Wollongong, NSW, Australia",3
 Parish Youth Ministry Philippines (Adviser) 2000 to present,0
 Manage SPV companies and their bank accounts,2
" Self-starter and team player who has a “Whatever it Takes” mindset, goal-oriented, highly curious, self-disciplined with a",2
"Finance, Business Economics, Accounting. Optional pathway Energy Business",2
"Summer Associate, Global Markets",0
Master of Science in Professional Accounting and Corporate Governance,1
City University of Hong Kong Aug 2010 Jul 2013,3
The University of Western Australia (2014),3
"Day to day management and administration of personal client portfolio Trusts,",2
"1, UK  Languages spoken- English, French, Spanish and Arabic",2
" Adept in Microsoft office suite (Excel, Word, Powerpoint)",2
and to lower the effective tax rate for the group.,0
Strategic Management Accounting (passed); Ethics and Governance (pending result); Financial,2
"Accounting, Advanced Audit and Assurance, Financial Risk Management, Global Strategic and Leadership (to be",2
Trust Administration and Accounts Trustee Investment and Financial Appraisal,2
 Graduated with a Bachelor of Arts (MERIT) in Economics,1
 NAV computation and financial statements consolidation (incl. performance fees calculation),2
_________________________________OTHER INFORMATION_______________________________________,0
Diploma Computer Science,1
Second Class Honors,0
 Meet with company heads to help with budgeting and tax planning,0
 Continue to perform fund services to European hedge funds but take on higher,0
 Instagram Marketing,2
and 2015 in EY.,0
both my interpersonal and communication skills are also enhanced where I acquired the abilities,0
"review, valuation benchmarking and financial modeling to support investment proposals",0
 Higher competitiveness and diversified economy help UAE funds restrict losses (Sep-11),0
Intensive 4-week financial modeling and valuation training program June 2015,0
"University of Durham, United Kingdom BA (Hons) Accounting and Finance Oct 2008 Jul 2011",3
each of eleven Asian countries on the basis of exceptional academic achievement and proven leadership skills. 2006- 2010,0
Corporate Finance,2
Additional Information,0
run operational and capital structure sensitivities within models and data tables for sensitivity analysis,2
"business manager for NVM 2014, coordinated with the committee and contributed to success of the event",0
 Passed Level 1 of CFA exam,1
Investment (CFROI) to analyze companies in consumer sectors in response to clients’ request; focused on,0
ACADEMIC QUALIFICATIONS,0
CO-CURRICULAR,0
"Reporting & Taxation, Financial Market & Risk Management, Management Accounting, Behavioural Finance, Business",2
Nerine Trust Company (Hong Kong) Limited (A.F. Private Limited/AFP Nerine Wealth,0
2016 - 2018 Master of Corporate Governance,1
product knowledge and valuations,2
research and gathered information,0
Cambridge ‘O’ Levels Certificate,1
"Mar 2014 to December 2016 Fund Accountant at Citco Fund Services (Singapore), Shared Services",0
"2012 -13 Two semesters scholarship at Yonsei University, Seoul, South Korea to finalize my bachelor in Business",3
MCKENZIE LIM Sui Heng,0
reform policies and variation on local practice by desktop research and interviewing equity analysts;,0
Publications,0
1989 1990 Damansara Utama College,3
Bachelor of Business Administration Degree in Finance,1
Accountancy  Minor in Entrepreneurship,2
attrition. Pro-actively promote quality initiatives and continually look to identify,0
"asset allocation, process of back testing and forward testing, to analysis of portfolio risk &",2
International Programmes Second Class Honours (Upper Division),1
//www.step.org,0
both long/short idea generations,2
"Prepare financial reporting for hedge funds, - Calculation of Net Asset",2
 Quantitative Analysis,2
efficiency and to achieve higher level of data integrity and completeness.,0
Singapore Polytechnic,3
2 CHOW SHING LUNG CHESTER,0
"British High Commission,",0
Bachelor of Commerce Feb 2006 - Jul 2008,1
Nerine Advisory Services India Pvt Limited,0
"University of London, SIM GE",3
 Creator of www.mimble.co,0
 Head of FATCA marketing and sales implementation for Asia.,0
"resolutions  Formation of new trusts (Guernsey, Hong Kong New Zealand and BVI)",0
 Platform competence Reuters Eikon & Zawya,0
" SWIFT, FX and CHQ Payments.",2
//www.linkedin.com/pub/lester-tan/35/6a1/29,0
"distributions, legislation, domicile and residency issues, pension schemes, and",0
"on the various listed securities and OTC products such as options,",0
"Novaliches High School Quezon City, Philippines 1998 2002",3
Administration of property development companies in London (2 large apartment,0
" Widely Exposed to different European Cultures at Ludwid-Maximilians University Munich, Anglo American",0
strategy and revenue management On Going,0
" Forensic examination, tagging and interpretation of minutes, resolutions and",2
Nanyang Polytechnic Singapore,3
" Nanyang Business School, Nanyang Technological University",3
Tin Shui Wai Government Secondary School Sept 2003 Jun 2010,3
1977 1982 Chung Kuo Primary School,3
 Preparation of financial statements and other required reports on a weekly/monthly,2
"Units include marketing, human resources, information system for business, business mathematics, etc.",2
" Project lead for new fund/product development, from the construction of sample portfolio",2
Anglo-Chinese Junior College,3
1991 1993 Damansara Utama College,3
Apex Fund Services (Singapore) Pte. Ltd.,0
"PricewaterhouseCoopers Manager, Assurance Jan 2014 May 2016",0
"Loss Statement on daily/weekly/monthly basis, while ensuring tight",0
Kaplan Singapore,0
led a group of 3 international students for Strategy Crafting & Execution and presented a topic on conservation,0
Management PROFESSIONAL EXPERIENCE,2
 Fluent and proficient in spoken/written English and Mandarin,2
PricewaterhouseCoopers (Auditing),2
" Certification in Technical Analysis (CTA), Singapore Traders Society (STATS) (March",1
"full suite of services required by intermediaries, UHMW families and service",2
"Referee  Winston Thng, COO, Amundi Singapore Ltd",0
PROFESSIONAL QUALIFICATIONS,0
"Guildford, UK",0
"Leopard Cambodia Fund, L.P",0
CFA Level III Candidate 2015 Current,1
Accounting Intern,0
2017 Udemy.com Certificate in Social Media Marketing On Going,2
 First Aid Training (in progress),2
"Islamabad, Pakistan. (February - July 2000)",0
New Town Secondary School (2005),3
June 2003- Mar 2006,0
 Hong Kong Employment Law Risks during an Economic Downturn - Dec 2008,0
Hong Kong Certificate Education of Examination (2009),1
The Open University of Hong Kong,3
"screened 10+ potential targets; performed financial analysis, peer analysis, business",2
Helmi Talib & Co.,0
2007-2008 GCE 'A' Levels,1
 Risk in Financial Services (CISI),2
 HKICPA - Aptitude Test - Hong Kong Taxation (Dec 2013),2
PROFESSIONAL SKILLS,0
including Hong Kong.,0
2006 - 2009 3.4 /4.0  Top 5 class ranking,0
University of New South Wales,3
contributed to China hospital markets research project; completed sections on hospital,0
 Ngee Ann Kongsi Merit Scholarship Award Recipient,0
 Diploma in Information Technology,1
"University of London (LSE), SIM Global Education Sep 2010 Jun 2013",3
Marketing and sales Director; Financial Forecasting; design the interface of the App,2
 Tax planning by managing corporate and transitional tax to minimize business costs,2
"Companies (LLC, IBC/BC2004 (2008), Protected Cell Companies/ICC's Limited",0
"CA FINAL 58 INSTITUTE OF CHARTERED ACCOUNTANTS OF INDIA,Bangalore",1
Diploma in Banking & Financial Services (Fund Management & Administration),1
HKFTU Labour Service Centre July 2002,0
U.S.CPA (AICPA Membership),1
Blended Global MBA Program Candidate,1
"correctly at fund, class and investor level. Process payment of fund",2
"Sichuan University Chengdu, China",3
 Liaising with clients & auditors on various audit work,2
Anglo-Chinese Junior College,3
China Citic Bank International,0
Foundation Year,0
"adherence to fiduciary, regulatory, client acceptance and annual review",0
"2010 High school degree at Collège Calvin, Geneva, Switzerland (specialization in law and economics)",0
 Perform fundamental research on equities based on bottom-up approach to identify,2
Secretarial support and company secretary regulations,0
University of Cambridge 1997,3
"Wesleyan Freeman Asian Scholarship, a full four-year scholarship awarded annually to one outstanding candidate from",0
Bachelor of Business Administration (Honours) in Accountancy and Management Information Systems,1
"manner  Calculate and prepare Capital Calls, Distribution notices,",0
 Review Net Asset Value (“NAV”) of funds prepared by fund accountants and supervise,0
Bachelor in Social Sciences (Honours),1
Distinction _______________________________________________________________________________________,0
May 2009 (2nd Upper Class Honours),0
2014 Present Chartered Market Technician (CMT),0
"Bachelor of Commerce, Double Major in Finance and Accounting 2007 2010",1
Singapore Management University Aug 2011 to Jun 2015,3
Coaching juniors in understanding calculation of NAV process and firm’s,0
Westpac Banking Corporation’s HK Branch,0
 4S Share a Secret Spread Success Foundation 2007 to present,0
"3.48/4 Financial accounting, Cost accounting, Management accounting, Auditing",2
Bachelor of Commerce -­‐ Accounting,1
Occupational Safety & Health (Labour Department) 2015,0
INTERESTS AND LANGUAGES,0
University of Toledo,3
Business Analyst Jan 2015 to July 2015,0
"Hong Kong, Cayman, Luxembourg and Cyprus) jurisdictions; and portfolio risk & performance",0
Hong Kong Baptist University 09/2012-06/2013,3
"GCE O’ Level, 1996 to 2000",1
"accruals. Calculation and validation of management fees, highwatermark,",2
 Awarded certificate of achievement for superior achievement and excellence in Mathematics,2
"London, Ontario, Canada",0
Amicorp (Hong Kong) Limited,0
Singapore Polytechnic,3
"1 Physics A, Maths A, Further Maths B",2
Seeking a challenging and rewarding position in an organization which provides a dynamic,0
"Park Volunteer, World Exposition, Shanghai China 2010 08/2010-09/2010",0
Management Science Methods,2
" Prepare capital call calculation, drawdown notice, expense allocation",2
Jul-03 - Jun-06 Singapore Institute of Management BSc Banking and,3
 Novaliches High School Newspaper (Managing Editor) 2001 to 2002,0
"Tsuda University, Tokyo Mar 1998",3
 Responsibility for ensuring key regulatory and reporting requirements are met on,2
 Coaching and training juniors in understanding calculation of NAV process for new,2
Languages English and Cantonese Bilingual; Mandarin Intermediate; Spanish Basic,2
Finance and Marketing,2
MBA Master of Business Administration,1
blotters and broker statements.,0
 Build up financial models for investment valuation analysis,0
providers.  Positioning and creation of Amicorp’s intermediary offerings in investment,0
 Creation of Remittance (ROS) and Inter-Bank Giro (IBG) for electronic bulk services.,0
" Award in Financial Planning , Chartered Insurance Institute",2
Business Law and Technology,3
Year School / Institute Qualification Obtained,0
"Gardening, Reading (fiction and non-fiction), Adventure sports",0
new business opportunities within existing and growing client base.,0
Senior Secondary (XII) Education Rajasthan (2012),3
"1 Physics A, Maths A, Further Maths B",2
"investment structuring, investment performance and trustee/settlor/co-trustee",2
share classes.,0
2010 Temasek Polytechnic,3
Certificate June 2009 Certificate in Technical Analysis (Finance) awarded by Singapore Technical,1
INTERNATIONAL SUMMER/WINTER PROGRAMMES (i-SP) Jun 15,0
"the handling and receipting of cash, cheques and credit card payments.",2
"Well versed in Hong Kong Labour Ordinance, C&B and MPF regulations",2
References Available upon request.,0
against budget or quarterly forecast with variance analysis.,0
Pre- Diploma Computer Science,1
"Erasmus Mundus Action 2, MSc Agricultural Economics Exchange Student with Full Scholarship 2011 - 2012",1
2008 09 IE Law School LLM Corporate Business Law. Graduated with Distinction top 5% Spain,1
"Science), Switzerland Thesis on the future of the Chinese currency. (Lapaire, LJ 2013, Renminbi dead-",0
Funds  Positioned to in-charge of preparing management accounts of,0
 Willing to travel for work purpose.,0
 Support property redevelopment project costing and capital budgeting work,2
tight deadlines and fund’s requirements.,0
"Company on fiduciary and corporate administrative functions and product,",0
"out of suspended/halted securities, performing P/L market value checks.",0
Midshipman Royal Naval Reserve,0
Educated in the United Kingdom for secondary and matriculation studies,0
"succession, and estate planning.",2
the Benchmark Group.),0
Deloitte & Touche LLP,0
(F.6-F.7/HKAL),0
"wasted, and budgeted events using the cash available and ensured every event had sufficient funds.",2
Jan 2014 May 2014,0
Japanese (Competent),0
 Generated over USD 50 K in turnover YoY,0
"- Wall’s Street Institute Hong Kong English School General English, Advanced Level",1
Corporate Accounting Services Pte Ltd,0
Trading Room Workshop(VBA Project); Corporate Accounting; Econometrics (Eviews); Merger and Acquisition,0
 Examine economic trends and how competitors are doing to look for ways to expand,2
 Responsible to build and develop in-house investment compliance monitoring and portfolio,2
"Washington University in St. Louis St. Louis, MO, USA",3
"TPG Capital, Limited (license type 1, 4)",0
3/7/2017—View by Ayyaz Ahmad,0
"Thomas H. Eliot Scholar, Charlotte and David Moger Scholarship Recipient",0
 Bachelor of Accountancy with Honours,1
" Line management, development and training of staff",2
 Day to Day oversight of the provision of all current Group fiduciary services and,2
" Liaise with auditors (both fund, management company and SPVs)",2
" BA (Honours) in International Business, Manchester Metropolitan University",1
Jan 1998 Dec 2001,0
 Review Over the Counter (OTC) master agreements,1
